color,0,1,2,3,4,5,6,7,8,9
1,0.19745101,-1.1839434,-0.730033,-0.09789445,-1.6415175,0.24524106,-0.52481306,-0.11178656,-0.054806992,-0.54390407
1,0.4741177,-1.2187954,-0.12693046,0.015080298,-1.750323,0.5156497,-1.7193544,0.14647128,0.1794896,-0.4053107
1,0.03200094,-1.2451288,-0.639132,-0.11605722,-0.8435473,0.8150664,-1.4105173,-0.2735488,0.3899867,-0.5437071
1,0.48161113,-0.61910874,-0.5163269,0.4831827,-0.2470905,0.5850194,-0.6960697,-0.027543258,0.64509076,0.5954661
1,0.5236609,-0.6832761,-0.78870076,0.26684093,-1.0087842,0.48318046,-0.23247805,0.41918123,0.30739945,-0.008340653
1,0.565655,-0.29002154,-1.0731186,-0.35988244,-0.4678925,0.8816606,-0.64409167,0.06182284,0.42327887,0.97265685
1,0.5426051,-0.6524725,-0.37541184,0.17552328,-0.9410452,1.3385419,-0.30746183,-0.04251445,-0.74110043,0.17502537
1,0.7938905,-0.5867098,-0.44485173,0.89820385,-1.0899892,1.1369354,-0.3862843,0.22640318,-0.019588104,0.38361025
1,0.75272787,0.2598788,-0.99704885,0.90770984,-0.77920717,0.7291031,-0.6226502,-0.89552563,0.2855681,0.6046826
1,0.7420091,-0.22843492,-0.60502905,1.0383315,-0.822104,1.0112319,0.20201495,-0.23099653,0.52637357,0.21088885
1,1.1227344,-0.9205186,-0.07408728,1.1440247,-0.9961978,0.26456848,-0.83611304,0.5102669,0.5274099,0.12134565
1,1.0210555,-0.7799185,0.009744734,-0.116178885,-0.07872046,0.9225897,-0.75187194,-0.14941087,0.7342874,0.39469942
1,1.1746992,-0.23885918,-0.01703494,0.30386534,-1.08648,0.72426915,0.06805482,-0.23017809,0.25860137,0.6812906
1,1.5021293,-0.28344303,-0.11030891,-0.18924533,-0.94465256,1.0341953,-0.35828465,-0.7468528,-0.21807088,0.9738877
1,1.1248251,-0.8077477,-0.24938552,0.13481396,-0.5869191,0.7667132,-1.1917661,-0.6081962,0.28395677,0.890891
1,1.3260272,-0.47540146,-0.25719413,0.755281,-0.36417666,0.7091449,-0.6032549,-0.5626734,0.17974722,0.031717002
1,1.2654604,-0.42379978,-0.21480711,0.9772732,-0.58271897,0.68785906,-1.0579188,-0.7257504,0.1848903,0.02958222
1,0.7143654,-0.56769276,-0.392519,0.9456805,-0.48609197,1.3893964,-0.23898566,-0.2209838,0.07947949,-0.20954484
1,0.92960733,-1.2899994,-0.3247379,-0.3453007,-0.1802037,1.179503,-0.9651589,-0.41848612,0.6667577,0.1880535
1,1.5646397,0.11993272,-0.062725246,0.74168736,-0.38928,0.9572871,-0.1636631,-0.89184403,0.82669544,0.0020813507
1,0.94129336,-1.0176306,0.49751014,0.0781637,-0.016602146,0.5632716,-1.0333843,-0.8180704,1.1178195,0.3714011
1,0.7389868,-1.1800832,-0.30474493,0.33568573,-0.45913762,0.21590154,-0.6529891,-0.9029549,0.35378513,0.6776134
1,1.0107226,-0.8267733,0.0673356,0.81607646,-0.50121623,0.57329977,-0.4924555,-0.09003301,0.83838874,0.3259281
1,1.6376975,-0.72714186,0.33284187,0.16001359,0.3738672,1.1268046,-1.1615932,-0.94906145,0.8017678,0.08198825
1,0.9615919,-0.29048046,-0.058656357,1.093696,-0.44384035,1.1891286,-0.031747177,-0.30837768,0.1628881,0.27240565
1,1.3582157,-0.92710143,-0.060412277,1.1763997,-0.4533764,0.92441064,-0.7412656,-0.624759,0.013290329,0.66436535
1,1.0734495,-0.61913824,0.15251446,0.6967873,-0.42449227,1.2020959,-0.2325509,-0.33046043,0.46952003,0.73769605
